Species_ID,NCBI RefSeq,Superkingdom
177758,NC_009828.1, Bacteria 
1778262,NZ_LN999833.1, Bacteria 
1778263,NZ_LN999835.1, Bacteria 
1778264,NZ_LN999831.1, Bacteria 
178339,NZ_CP017298.1, Bacteria 
1784714,NZ_CP029480.1, Bacteria 
1785753,NC_010191.2, Viruses 
178899,NZ_CP028491.1, Bacteria 
1790137,NZ_CP014224.1, Bacteria 
1795630,NZ_CP014513.1, Bacteria 
179636,NC_014910.1, Bacteria 
179637,NZ_CP095005.1, Archaea 
1796616,NZ_CP015405.2, Bacteria 
1796620,NZ_CP021422.1, Bacteria 
1796635,NZ_AP024510.1, Bacteria 
1796646,NZ_CP015402.2, Bacteria 
1796652,NZ_CP065313.1, Bacteria 
1796921,NZ_CP023004.1, Bacteria 
1798205,NZ_LT907844.1, Bacteria 
180,NC_017094.1, Bacteria 
180170,NC_003494.1, Viruses 
1802984,NZ_CP025989.1, Bacteria 
1803846,NZ_CP025791.1, Bacteria 
1803957,NC_003976.2, Viruses 
1804990,NZ_CP051299.1, Bacteria 
180504,NC_003309.1, Viruses 
1806508,NZ_LN890655.1, Bacteria 
1808979,NZ_CP044205.1, Bacteria 
1809410,NZ_LT671418.1, Bacteria 
1810504,NZ_CP014671.1, Bacteria 
181082,NC_007346.1, Viruses 
181124,NC_057323.1, Eukaryota 
1811807,NZ_AP018725.1, Bacteria 
1813451,NZ_CP058350.1, Bacteria 
1813871,NZ_CP042435.1, Bacteria 
1813880,NZ_CP046121.1, Bacteria 
181487,NZ_CP040505.1, Bacteria 
181663,NC_009943.1, Bacteria 
1817405,NZ_CP019573.1, Bacteria 
181762,NC_062999.1, Eukaryota 
1821560,NC_031112.1, Viruses 
1821621,NZ_CP015839.1, Bacteria 
1821750,NC_001366.1, Viruses 
1821960,NZ_CP006664.1, Bacteria 
182210,NC_014844.1, Bacteria 
182262,NZ_AP023032.1, Bacteria 
182640,NC_013729.1, Bacteria 
1826607,NZ_CP034588.1, Bacteria 
182710,NC_004193.1, Bacteria 
1836,NC_009142.1, Bacteria 
1836467,NZ_CP018760.1, Bacteria 
1838062,NC_030943.1, Viruses 
1838286,NZ_CP016094.1, Bacteria 
1839801,NZ_CP018258.1, Bacteria 
184064,NC_015499.1, Bacteria 
184117,NC_015315.1, Archaea 
1842540,NZ_CP016448.1, Bacteria 
1844971,NZ_CP015698.1, Bacteria 
184914,NC_017030.1, Bacteria 
184917,NC_012796.1, Bacteria 
185007,NZ_CP043030.1, Bacteria 
1850238,NZ_CP023449.1, Bacteria 
1850246,NZ_CP017478.1, Bacteria 
1850252,NZ_CP018155.1, Bacteria 
1850254,NZ_CP019070.1, Bacteria 
1851148,NZ_CP019646.1, Bacteria 
1851514,NZ_CP054058.1, Bacteria 
1852,NC_013159.1, Bacteria 
1852022,NZ_CP036532.1, Bacteria 
1852373,NZ_LT632322.1, Bacteria 
1852374,NZ_LT635475.1, Bacteria 
1852381,NZ_OV788642.1, Bacteria 
185300,NC_014734.1, Bacteria 
1853278,NZ_CP022278.1, Bacteria 
1853682,NZ_CP054707.1, Archaea 
1853690,NZ_CP054587.1, Archaea 
1855912,NZ_CP015136.1, Bacteria 
185782,NC_005166.1, Viruses 
1859475,NZ_CP075561.1, Bacteria 
1861,NC_013757.1, Bacteria 
186165,NC_003412.1, Viruses 
186189,NC_013530.1, Bacteria 
186192,NC_015387.1, Bacteria 
1862145,NZ_CP102480.1, Bacteria 
1863,NZ_LT906453.1, Bacteria 
186490,NZ_CP008985.1, Bacteria 
1866,NC_017093.1, Bacteria 
1866326,NZ_CP118166.1, Bacteria 
1867719,NZ_CP017940.1, Bacteria 
186772,NC_004051.1, Viruses 
186786,NC_011068.1, Viruses 
1868589,NZ_CP027668.1, Bacteria 
1870985,NZ_LR698996.1, Bacteria 
187101,NZ_CP011280.1, Bacteria 
1871025,NZ_LT635480.1, Bacteria 
1871034,NZ_LT706985.1, Bacteria 
1871153,NC_030651.1, Viruses 
187137,NC_014761.1, Bacteria 
187145,NZ_CP018099.1, Bacteria 
1873524,NZ_CP016804.1, Archaea 
1873698,NC_030656.1, Viruses 
1874277,NZ_AP018732.1, Archaea 
187493,NC_020888.1, Bacteria 
1878942,NZ_CP021659.1, Bacteria 
1882682,NZ_CP016616.1, Bacteria 
1882918,NZ_CP016908.1, Bacteria 
1883371,NC_031126.1, Viruses 
1883414,NZ_CP042382.1, Bacteria 
188350,NC_004466.2, Viruses 
1884450,NC_030745.1, Viruses 
1884453,NC_025345.1, Viruses 
1884460,NC_031244.1, Viruses 
1884461,NC_031259.1, Viruses 
1884634,NZ_CP016768.2, Bacteria 
1884914,NZ_CP016770.1, Bacteria 
188913,NZ_CP092519.1, Bacteria 
1891207,NZ_AP023054.1, Bacteria 
1891644,NZ_CP047156.1, Bacteria 
1891729,NC_001663.2, Viruses 
1891746,NC_004800.1, Viruses 
1891754,NC_001442.1, Viruses 
1891755,NC_025790.1, Viruses 
1891756,NC_025899.1, Viruses 
1891770,NC_001505.2, Viruses 
1891926,NZ_CP017641.1, Bacteria 
189381,NZ_CP047095.1, Bacteria 
1894999,NZ_CP126889.1, Bacteria 
1896196,NZ_CP017113.1, Bacteria 
1898042,NZ_CP074126.1, Bacteria 
1898749,NZ_CP021324.1, Archaea 
19,NC_007498.2, Bacteria 
190064,NC_000899.1, Viruses 
1903276,NZ_LT841358.1, Archaea 
1903694,NZ_CP021376.1, Bacteria 
1903704,NZ_CP021434.1, Bacteria 
1906741,NZ_CP017668.1, Bacteria 
1906744,NZ_CP040863.1, Bacteria 
1907662,NZ_AP025564.1, Bacteria 
1908198,NZ_CP040021.1, Bacteria 
1910935,NC_020081.2, Viruses 
1911006,NC_021775.1, Viruses 
1911010,NC_027994.1, Viruses 
1911586,NZ_CP017761.1, Bacteria 
1912795,NZ_CP017812.1, Bacteria 
1913578,NZ_CP018154.1, Bacteria 
1913656,NC_014662.1, Viruses 
1913658,NC_020416.1, Viruses 
1913995,NC_014595.1, Viruses 
1914019,NC_005083.2, Viruses 
1914020,NC_021529.2, Viruses 
1914161,NC_004928.1, Viruses 
1914471,NZ_AP018721.1, Bacteria 
1914568,NC_022332.1, Viruses 
1914574,NC_018506.1, Viruses 
1914853,NC_011041.1, Viruses 
1914897,NC_017974.1, Viruses 
191495,NC_013739.1, Bacteria 
1915078,NZ_CP019437.1, Bacteria 
1915209,NC_017984.1, Viruses 
1915309,NZ_CP017834.1, Bacteria 
191579,NC_015321.1, Bacteria 
1917421,NZ_CP022684.1, Bacteria 
1917485,NZ_CP018076.1, Bacteria 
1917980,NC_003631.1, Viruses 
1918005,NC_018863.1, Viruses 
1918011,NC_018856.1, Viruses 
1918014,NC_017990.1, Viruses 
1918194,NC_021795.1, Viruses 
1918525,NC_021798.1, Viruses 
1918720,NC_020842.1, Viruses 
1918722,NC_025423.1, Viruses 
1918727,NC_025430.1, Viruses 
1918729,NC_023882.1, Viruses 
1918731,NC_038517.1, Viruses 
1920493,NC_039038.1, Viruses 
1920498,NC_038518.1, Viruses 
192073,NC_007954.1, Bacteria 
1920749,NZ_CP019964.1, Archaea 
1920751,NC_021063.1, Viruses 
1920754,NC_015933.1, Viruses 
1920763,NC_013692.1, Viruses 
1920772,NC_024501.1, Viruses 
1920777,NC_013649.2, Viruses 
1920883,NZ_CP018572.1, Bacteria 
1920998,NC_007291.1, Viruses 
1921008,NC_005833.1, Viruses 
1921018,NC_021856.1, Viruses 
1921086,NZ_CP018799.1, Bacteria 
1921118,NC_024146.1, Viruses 
1921123,NC_025443.1, Viruses 
1921130,NC_018831.1, Viruses 
1921188,NC_022770.1, Viruses 
1921411,NC_015294.2, Viruses 
1921432,NC_003847.1, Viruses 
1921436,NC_003291.2, Viruses 
1921510,NZ_CP018221.1, Bacteria 
1921526,NC_027296.1, Viruses 
1921545,NC_007806.1, Viruses 
1921548,NC_018278.1, Viruses 
1921554,NC_028776.1, Viruses 
1921698,NC_019713.1, Viruses 
1921705,NC_019909.1, Viruses 
1921710,NC_022774.1, Viruses 
1921773,NC_038527.1, Viruses 
1921778,NC_023894.1, Viruses 
1921824,NC_038531.1, Viruses 
1922208,NC_024300.1, Viruses 
1922212,NC_004456.1, Viruses 
1922242,NC_043197.1, Viruses 
1922247,NC_023582.1, Viruses 
1922328,NC_016563.1, Viruses 
1922331,NC_005879.1, Viruses 
1923469,NC_032978.1, Viruses 
1925548,NZ_CP024034.1, Bacteria 
1925781,NC_015272.2, Viruses 
1925803,NC_001557.1, Viruses 
1926511,NC_032126.1, Viruses 
1926868,NZ_CP060790.1, Bacteria 
1927128,NZ_CP020660.1, Bacteria 
192843,NC_007908.1, Bacteria 
1930071,NZ_AP018449.1, Bacteria 
1930273,NZ_CP036525.1, Bacteria 
1930274,NZ_CP036262.1, Bacteria 
1930276,NZ_CP036263.1, Bacteria 
1930277,NZ_CP036261.1, Bacteria 
1930593,NZ_CP019384.1, Bacteria 
193121,NC_003629.1, Viruses 
1932910,NC_038519.1, Viruses 
1932912,NC_038521.1, Viruses 
1932923,NC_015230.1, Viruses 
1932927,NC_011132.1, Viruses 
1933880,NZ_CP012750.1, Bacteria 
1935379,NZ_CP035037.1, Bacteria 
1936003,NZ_CP019791.1, Bacteria 
1936021,NZ_CP048877.1, Bacteria 
1936081,NZ_CP019389.1, Bacteria 
1938604,NZ_CP019509.1, Bacteria 
1940612,NZ_CP043046.1, Bacteria 
1940790,NZ_CP019633.1, Bacteria 
194196,NZ_CP083931.1, Bacteria 
1943633,NZ_CP047166.1, Bacteria 
194441,NC_001488.1, Viruses 
1944646,NZ_LT821227.1, Bacteria 
1945565,NC_019404.1, Viruses 
1945589,NC_001330.1, Viruses 
194699,NC_005357.1, Viruses 
194802,NC_003907.2, Viruses 
194965,NC_004421.1, Viruses 
194966,NC_004831.2, Viruses 
195105,NZ_CP035510.1, Bacteria 
195913,NZ_CP072994.1, Bacteria 
1961787,NC_023895.1, Viruses 
1962974,NZ_CP126625.1, Bacteria 
1965384,NC_011811.1, Viruses 
1966265,NC_007710.1, Viruses 
1967665,NZ_CP020465.1, Bacteria 
1968839,NZ_CP063141.1, Bacteria 
1969806,NZ_CP029176.1, Bacteria 
1969821,NZ_CP059896.1, Bacteria 
197,NC_002163.1, Bacteria 
1971236,NC_038701.1, Viruses 
197162,NC_013939.1, Bacteria 
1972068,NZ_AP018724.1, Bacteria 
1972134,NZ_AP018162.1, Bacteria 
1972577,NC_001560.1, Viruses 
1972580,NC_007020.1, Viruses 
1972584,NC_020804.1, Viruses 
1972593,NC_002526.1, Viruses 
1972626,NC_011639.1, Viruses 
1972686,NC_025395.1, Viruses 
197482,NZ_CP031218.1, Bacteria 
1977105,NC_031275.1, Viruses 
1977140,NC_004736.1, Viruses 
1977297,NC_008574.2, Viruses 
1977306,NC_001956.1, Viruses 
1977402,NC_003287.2, Viruses 
1977408,NC_003793.1, Viruses 
1977411,NC_001954.1, Viruses 
1977412,NC_003460.1, Viruses 
197771,NC_004068.1, Viruses 
197772,NC_003973.1, Viruses 
1978413,NC_034377.1, Viruses 
1978546,NC_025342.1, Viruses 
1980426,NC_013105.1, Viruses 
1980456,NC_003468.2, Viruses 
1980541,NC_043039.1, Viruses 
1980918,NC_000903.1, Viruses 
1980923,NC_010811.2, Viruses 
1980926,NC_028899.1, Viruses 
1980931,NC_028962.1, Viruses 
1980941,NC_020082.1, Viruses 
1980946,NC_027204.1, Viruses 
1981041,NC_028760.1, Viruses 
1981164,NC_000902.1, Viruses 
1981166,NC_025434.1, Viruses 
1981167,NC_018846.1, Viruses 
1981510,NZ_CP020991.1, Bacteria 
1982090,NC_031224.2, Viruses 
1982093,NC_024138.1, Viruses 
1982096,NC_026594.1, Viruses 
1982100,NC_041949.1, Viruses 
1982102,NC_024135.1, Viruses 
1982105,NC_028692.1, Viruses 
1982107,NC_030944.1, Viruses 
1982112,NC_023555.1, Viruses 
1982148,NC_026590.1, Viruses 
1982151,NC_009993.2, Viruses 
1982153,NC_041951.1, Viruses 
1982219,NC_028972.1, Viruses 
1982221,NC_028746.1, Viruses 
1982225,NC_028805.1, Viruses 
1982229,NC_028768.1, Viruses 
1982237,NC_031231.1, Viruses 
1982240,NC_031058.1, Viruses 
1982245,NC_028924.1, Viruses 
1982247,NC_018272.1, Viruses 
1982269,NC_009541.1, Viruses 
1982357,NC_028931.1, Viruses 
1982360,NC_023691.1, Viruses 
1982363,NC_004689.1, Viruses 
1982364,NC_011292.1, Viruses 
1982365,NC_011039.1, Viruses 
1982368,NC_023735.1, Viruses 
1982371,NC_021534.1, Viruses 
1982373,NC_015466.1, Viruses 
1982377,NC_018086.1, Viruses 
198252,NC_007205.1, Bacteria 
1982555,NC_022053.1, Viruses 
1982560,NC_030917.1, Viruses 
1982561,NC_030696.1, Viruses 
1982563,NC_030698.1, Viruses 
1982567,NC_041961.1, Viruses 
1982570,NC_028865.1, Viruses 
1982575,NC_029097.1, Viruses 
1982577,NC_023579.1, Viruses 
1982580,NC_004775.2, Viruses 
1982584,NC_001825.1, Viruses 
1982588,NC_019420.1, Viruses 
1982591,NC_024123.1, Viruses 
1982596,NC_013691.1, Viruses 
1982626,NZ_AP024085.1, Bacteria 
1982660,NC_039002.1, Viruses 
1982747,NC_028974.1, Viruses 
1982750,NC_030924.1, Viruses 
1982751,NC_030905.1, Viruses 
1982882,NC_028904.1, Viruses 
1982890,NC_021298.1, Viruses 
1982894,NC_019414.1, Viruses 
1982895,NC_018836.1, Viruses 
1982903,NC_022063.1, Viruses 
1982918,NC_008199.1, Viruses 
1983117,NC_008195.1, Viruses 
1983550,NC_034619.1, Viruses 
1983736,NC_023692.1, Viruses 
1983739,NC_021302.1, Viruses 
1983742,NC_028796.1, Viruses 
1983750,NC_021299.1, Viruses 
1984775,NC_022980.1, Viruses 
1984778,NC_023557.1, Viruses 
1984783,NC_026606.1, Viruses 
1984787,NC_007623.1, Viruses 
1984790,NC_028969.1, Viruses 
1984796,NC_027402.1, Viruses 
1984800,NC_019446.1, Viruses 
1985175,NC_020873.1, Viruses 
1985182,NC_018860.1, Viruses 
1985290,NC_028808.2, Viruses 
1985305,NC_028247.1, Viruses 
1985310,NC_005282.1, Viruses 
1985326,NC_028686.1, Viruses 
1985337,NC_014036.1, Viruses 
1985342,NC_027331.1, Viruses 
1985354,NC_005066.1, Viruses 
1985689,NC_034544.1, Viruses 
1985695,NC_025405.1, Viruses 
1985698,NC_011558.1, Viruses 
1985704,NC_002251.1, Viruses 
1985714,NC_021316.1, Viruses 
1985726,NC_013647.1, Viruses 
1985729,NC_019454.1, Viruses 
1985730,NC_015585.1, Viruses 
1985731,NC_009936.1, Viruses 
1985732,NC_005045.1, Viruses 
1985736,NC_022987.1, Viruses 
1985737,NC_009014.1, Viruses 
1985740,NC_004665.1, Viruses 
1985983,NC_024767.1, Viruses 
1986027,NC_002643.1, Viruses 
1986034,NC_001420.2, Viruses 
1986112,NC_027199.1, Viruses 
1986113,NC_026812.1, Viruses 
1986118,NC_024709.1, Viruses 
1986204,NZ_LT859958.1, Bacteria 
1986538,NC_008197.1, Viruses 
1986960,NC_027214.1, Viruses 
1987921,NZ_CP045925.1, Bacteria 
1987993,NC_015296.1, Viruses 
1987994,NC_013693.1, Viruses 
1993650,NC_002743.1, Viruses 
1993859,NC_008206.2, Viruses 
1993872,NC_003387.1, Viruses 
199441,NZ_CP020814.1, Bacteria 
199596,NC_011666.1, Bacteria 
2001,NC_013595.1, Bacteria 
2003188,NZ_AP019367.1, Bacteria 
2003329,NC_001998.1, Viruses 
2003391,NC_026921.1, Viruses 
2003649,NC_012801.1, Viruses 
2003678,NC_007920.1, Viruses 
200415,NC_019791.1, Archaea 
2004457,NC_010105.1, Viruses 
2005060,NC_028954.1, Viruses 
2005460,NZ_AP018281.1, Bacteria 
2005701,NC_006940.2, Viruses 
2006,NZ_CP039124.1, Bacteria 
2006110,NZ_CP023406.1, Bacteria 
2006134,NC_004687.1, Viruses 
2006145,NC_004684.1, Viruses 
2006175,NC_007810.1, Viruses 
2010829,NZ_AP018560.1, Bacteria 
2011073,NC_016162.1, Viruses 
2011074,NC_001270.2, Viruses 
2011075,NC_008575.1, Viruses 
2011076,NC_002362.1, Viruses 
2011077,NC_006294.1, Viruses 
2011078,NC_043029.1, Viruses 
2011079,NC_021569.1, Viruses 
2011080,NC_007189.1, Viruses 
2011081,NC_001331.1, Viruses 
2011082,NC_001418.1, Viruses 
2011083,NC_015297.1, Viruses 
2011088,NC_010429.1, Viruses 
2016596,NZ_CP048836.1, Bacteria 
2017482,NZ_CP022303.1, Bacteria 
2020,NC_013510.1, Bacteria 
2021234,NZ_CP027860.1, Bacteria 
2024580,NZ_CP022961.1, Bacteria 
2024608,NC_075036.1, Viruses 
2025079,NC_025890.1, Viruses 
2026,NZ_CP039710.1, Bacteria 
2026624,NZ_CP051131.1, Bacteria 
2026885,NZ_LS483254.1, Bacteria 
2027857,NZ_CP022985.1, Bacteria 
2028345,NZ_CP022987.1, Bacteria 
2029849,NZ_CP071057.1, Bacteria 
2030964,NC_007518.1, Viruses 
2034170,NC_079232.1, Eukaryota 
2034996,NC_029926.1, Viruses 
2034999,NC_028767.1, Viruses 
2035,NZ_CP071883.1, Bacteria 
2036206,NZ_CP023434.1, Bacteria 
2038343,NZ_CP097332.1, Bacteria 
2039,NC_004551.1, Bacteria 
204090,NC_004679.1, Viruses 
2041855,NC_042350.1, Viruses 
2041859,NC_042352.1, Viruses 
2043170,NZ_CP041025.1, Bacteria 
2045,NZ_CP009896.1, Bacteria 
2045011,NZ_CP024014.1, Archaea 
204525,NZ_CP115851.1, Bacteria 
2047,NC_014643.1, Bacteria 
2047767,NZ_CP042909.1, Bacteria 
2047966,NZ_CP028897.1, Bacteria 
2049305,NZ_CP039456.1, Bacteria 
2049886,NC_030911.1, Viruses 
2051,NC_014246.1, Bacteria 
2051959,NZ_CP073696.1, Bacteria 
2052899,NC_043491.1, Viruses 
2054,NC_013441.1, Bacteria 
2055893,NZ_CP025066.1, Archaea 
2056194,NC_042347.1, Viruses 
2057,NC_013523.1, Bacteria 
2058135,NZ_CP025117.1, Bacteria 
2058175,NZ_CP040812.1, Bacteria 
2058657,NZ_CP025422.1, Bacteria 
205868,NC_004680.2, Viruses 
205869,NC_004681.1, Viruses 
205870,NC_004682.2, Viruses 
205872,NC_004683.1, Viruses 
205875,NC_004685.1, Viruses 
205876,NC_004686.2, Viruses 
205879,NC_004688.1, Viruses 
205910,NC_002557.1, Viruses 
2060092,NC_042094.1, Viruses 
2060093,NC_042095.1, Viruses 
2060142,NC_036591.1, Viruses 
2060973,NC_063068.1, Eukaryota 
2061,NC_014158.1, Bacteria 
206403,NZ_CP011308.1, Bacteria 
206506,NZ_CP033936.1, Bacteria 
2066,NC_016109.1, Bacteria 
2066483,NZ_CP025544.1, Bacteria 
2067065,NZ_CP024847.1, Bacteria 
2067960,NZ_CP025682.1, Bacteria 
2068655,NZ_CP076458.1, Bacteria 
2069432,NZ_CP025938.1, Bacteria 
2070537,NZ_CP033087.1, Bacteria 
2072590,NZ_CP028324.1, Bacteria 
207343,NC_001831.1, Viruses 
207949,NZ_CP051183.1, Bacteria 
2079521,NC_076000.1, Viruses 
2079791,NZ_CP026951.1, Bacteria 
2079792,NZ_CP026949.1, Bacteria 
208199,NZ_CP125299.1, Bacteria 
208216,NC_014414.1, Bacteria 
208226,NC_009633.1, Bacteria 
2083181,NC_038512.1, Viruses 
208479,NZ_CP022464.2, Bacteria 
2086584,NZ_LT990039.1, Bacteria 
2086585,NZ_LR026983.1, Bacteria 
2093824,NZ_CP007496.1, Bacteria 
2093856,NZ_CP032819.1, Bacteria 
2093857,NZ_CP034413.3, Bacteria 
2094025,NZ_CP027062.1, Bacteria 
2095,NC_007633.1, Bacteria 
2097,NC_000908.2, Bacteria 
2099786,NZ_CP031092.1, Bacteria 
2108365,NZ_AP018712.1, Bacteria 
2108523,NZ_CP091870.1, Bacteria 
2109913,NZ_CP027667.1, Bacteria 
2109914,NZ_CP027666.1, Bacteria 
2109915,NZ_CP027669.1, Bacteria 
211114,NZ_LT629701.1, Bacteria 
2115,NC_014921.1, Bacteria 
2115978,NZ_CP027845.1, Bacteria 
2116657,NZ_CP027792.1, Bacteria 
2118,NC_006908.1, Bacteria 
2126321,NZ_CP028035.1, Bacteria 
2126346,NZ_CP031264.1, Bacteria 
2126984,NC_075038.1, Viruses 
213034,NC_007415.1, Viruses 
2133944,NZ_CP033459.1, Bacteria 
2136037,NC_039013.1, Viruses 
213633,NC_014126.1, Viruses 
214851,NZ_CP102293.1, Bacteria 
214888,NZ_CP024963.1, Bacteria 
2151,NC_006055.1, Bacteria 
215591,NC_015732.1, Bacteria 
215813,NC_009952.1, Bacteria 
2161677,NZ_CP061205.1, Bacteria 
2161747,NZ_CP031415.1, Bacteria 
2161875,NC_055551.1, Viruses 
2161876,NC_040624.1, Viruses 
2161880,NC_040812.1, Viruses 
2163011,NZ_CP028901.1, Bacteria 
2163644,NZ_CP029077.1, Bacteria 
216465,NC_008781.1, Bacteria 
216778,NZ_CP007597.1, Bacteria 
216816,NC_015067.1, Bacteria 
216933,NC_021280.1, Bacteria 
2169400,NZ_CP028918.1, Bacteria 
2169571,NC_038017.1, Viruses 
2169685,NC_023985.1, Viruses 
2169686,NC_027340.1, Viruses 
2169687,NC_022343.1, Viruses 
2169689,NC_020083.1, Viruses 
2169692,NC_030839.1, Viruses 
2169700,NC_001421.2, Viruses 
2169704,NC_041890.1, Viruses 
2169707,NC_031251.1, Viruses 
2169721,NC_038892.1, Viruses 
2169724,NC_022919.1, Viruses 
2169725,NC_012212.1, Viruses 
2169730,NC_031226.1, Viruses 
2169731,NC_031269.1, Viruses 
2169775,NC_026249.1, Viruses 
2169798,NC_021061.1, Viruses 
2169814,NC_032222.1, Viruses 
2169834,NC_003640.1, Viruses 
2169853,NC_025474.1, Viruses 
2169860,NC_003299.1, Viruses 
2169864,NC_030654.1, Viruses 
2169868,NC_024367.1, Viruses 
2169870,NC_041891.1, Viruses 
2169883,NC_019929.1, Viruses 
2169893,NC_003567.1, Viruses 
2169894,NC_039022.1, Viruses 
2169905,NC_019498.1, Viruses 
2169910,NC_024209.1, Viruses 
2169918,NC_030445.1, Viruses 
2169919,NC_030446.1, Viruses 
2169921,NC_019714.1, Viruses 
2169922,NC_019769.1, Viruses 
2169925,NC_016160.1, Viruses 
2169926,NC_019715.1, Viruses 
2169927,NC_019709.1, Viruses 
2169937,NC_033152.1, Viruses 
2169963,NC_023556.1, Viruses 
2169965,NC_033818.1, Viruses 
2169978,NC_018273.1, Viruses 
2170027,NC_003647.1, Viruses 
2170030,NC_004064.1, Viruses 
2170047,NC_006051.1, Viruses 
2170052,NC_025432.1, Viruses 
2170091,NC_031076.1, Viruses 
2170098,NC_001341.1, Viruses 
2170116,NC_018617.1, Viruses 
2170139,NC_039023.1, Viruses 
2170191,NC_043071.1, Viruses 
2170203,NC_001364.1, Viruses 
2170215,NC_027381.1, Viruses 
2170216,NC_021772.1, Viruses 
2170221,NC_008376.2, Viruses 
2170233,NC_001641.1, Viruses 
2170234,NC_041918.2, Viruses 
2170235,NC_039040.1, Viruses 
2170236,NC_031756.1, Viruses 
2170237,NC_039041.1, Viruses 
2170239,NC_023602.1, Viruses 
2170248,NC_024388.1, Viruses 
2170254,NC_030913.1, Viruses 
2170745,NZ_CP031746.1, Bacteria 
2171623,NZ_CP029049.1, Bacteria 
2171755,NZ_CP032125.1, Bacteria 
2172099,NZ_CP026604.1, Bacteria 
2172103,NZ_CP029185.2, Bacteria 
2173,NC_009515.1, Archaea 
2173034,NZ_LR130778.1, Bacteria 
2176,NC_014002.1, Archaea 
217686,NC_001836.1, Viruses 
2180,NC_014658.1, Archaea 
218208,NC_011768.1, Bacteria 
2182400,NC_047976.1, Viruses 
2183582,NZ_CP029347.1, Bacteria 
2183911,NZ_CP029488.1, Bacteria 
2184083,NZ_CP029331.1, Bacteria 
2187,NC_009634.1, Archaea 
2189,NC_015562.1, Archaea 
219174,NC_039241.1, Viruses 
219314,NZ_CM001024.1, Bacteria 
2198,NC_009051.1, Archaea 
2199,NZ_CP113361.1, Archaea 
2201,NZ_CM001555.1, Archaea 
2202149,NZ_CP040871.1, Bacteria 
2202721,NZ_CP094326.1, Bacteria 
2203,NC_007796.1, Archaea 
220697,NZ_CP004388.1, Bacteria 
2209,NC_003901.1, Archaea 
2211106,NZ_AP018722.1, Bacteria 
2211108,NZ_AP018718.1, Bacteria 
2211140,NZ_CP030840.1, Bacteria 
2213194,NZ_CP029797.1, Bacteria 
2213226,NZ_CP029822.1, Bacteria 
221402,NZ_CP022013.1, Bacteria 
2218628,NC_005126.1, Bacteria 
2219043,NZ_AP025739.1, Bacteria 
221915,NC_005880.2, Viruses 
2219224,NZ_CP045572.1, Bacteria 
2220095,NZ_CP030033.1, Bacteria 
2220096,NZ_CP030126.1, Bacteria 
2224,NC_008553.1, Archaea 
222819,NZ_CP051168.1, Bacteria 
2231055,NZ_CP031842.1, Bacteria 
2231603,NC_079241.1, Eukaryota 
2233999,NZ_CP030265.1, Bacteria 
2238,NC_006396.1, Archaea 
223967,NC_010725.1, Bacteria 
2246,NC_013967.1, Archaea 
2247,NC_012029.1, Archaea 
225148,NZ_CP075585.1, Bacteria 
225194,NC_011146.1, Bacteria 
225588,NC_004664.2, Viruses 
2257,NC_007426.1, Archaea 
2259620,NZ_CP031093.1, Bacteria 
2259673,NZ_CP030847.1, Archaea 
225992,NZ_CP020121.1, Bacteria 
2268024,NZ_CP031124.1, Bacteria 
2268449,NZ_CP031087.1, Bacteria 
2269,NC_008698.1, Archaea 
227086,NC_010004.1, Eukaryota 
227318,NZ_AP023355.1, Bacteria 
227470,NC_005260.1, Viruses 
2275,NC_014961.1, Archaea 
2280,NC_009033.1, Archaea 
2282148,NZ_CP060530.1, Archaea 
2282206,NC_040681.1, Viruses 
2283160,NZ_CP031223.1, Bacteria 
2283195,NZ_CP031229.1, Bacteria 
2283318,NZ_CP031222.1, Bacteria 
2287,NZ_CP033238.1, Archaea 
228745,NC_014926.1, Bacteria 
2290923,NZ_CP031337.1, Bacteria 
2291597,NZ_CP031416.1, Bacteria 
2292766,NZ_CP041186.1, Bacteria 
2293,NZ_CM001488.1, Bacteria 
2293317,NZ_CP046457.1, Bacteria 
2296,NC_012108.1, Bacteria 
229731,NZ_CP019285.1, Archaea 
2303331,NZ_CP031704.1, Bacteria 
2303538,NZ_CP031769.1, Bacteria 
2304600,NZ_CP031841.1, Bacteria 
2305987,NZ_LS999833.1, Bacteria 
2306623,NC_040836.1, Viruses 
230871,NC_004814.1, Viruses 
231049,NZ_CP040586.1, Bacteria 
2315,NZ_CM001436.1, Archaea 
2315862,NZ_CP032157.1, Bacteria 
2316383,NZ_CP033169.1, Bacteria 
2317,NZ_LR698975.1, Archaea 
2320,NC_003551.1, Archaea 
2320858,NZ_CP032418.1, Bacteria 
2321403,NZ_CP032382.1, Bacteria 
2322,NC_014253.1, Archaea 
232237,NC_004902.1, Viruses 
232259,NC_018010.1, Bacteria 
2331,NC_017455.1, Bacteria 
233100,NZ_CP023018.1, Bacteria 
233181,NC_019814.1, Bacteria 
233894,NC_008208.1, Viruses 
2341112,NZ_CP032509.1, Bacteria 
2341117,NZ_CP032489.1, Bacteria 
234827,NC_015722.1, Bacteria 
2350,NC_015510.1, Bacteria 
2352,NC_015672.1, Bacteria 
235201,NC_006936.1, Viruses 
235266,NC_005830.1, Viruses 
2358,NC_018025.1, Bacteria 
2364647,NZ_CP104758.1, Bacteria 
236753,NZ_CP027226.1, Bacteria 
2371,NC_004556.1, Bacteria 
237258,NZ_CP034157.1, Bacteria 
2377,NZ_CP036259.1, Bacteria 
238,NZ_CP016378.1, Bacteria 
